product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
カレー　ルーのみ,490,https://www.hottomotto.com/files/menu_img/sp_1163.jpg?id=5845,118kcal,4.6g,3.4g,18.3g,16.4g,1.9g,2.6g,https://www.hottomotto.com/menu_list/view/13/1163
特のりタル弁当,590,https://www.hottomotto.com/files/menu_img/sp_972.jpg?id=5845,875kcal,28.1g,32.8g,120.9g,112.8g,8.1g,4.3g,https://www.hottomotto.com/menu_list/view/13/972
特注弁当　梅,1000,https://www.hottomotto.com/files/menu_img/sp_1201.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1201
ちくわ天,80,https://www.hottomotto.com/files/menu_img/sp_985.jpg?id=5845,133kcal,4.2g,7.4g,12.6g,12.0g,0.6g,1.2g,https://www.hottomotto.com/menu_list/view/13/985
特製ナポリタン＆サラダ,500,https://www.hottomotto.com/files/menu_img/sp_1291.jpg?id=5845,539kcal,26.7g,26.0g,55.3g,48.4g,6.9g,3.9g,https://www.hottomotto.com/menu_list/view/13/1291
旨辛特製豚汁,200,https://www.hottomotto.com/files/menu_img/sp_1182.jpg?id=5845,85kcal,5.0g,2.9g,10.4g,8.6g,1.8g,3.4g,https://www.hottomotto.com/menu_list/view/13/1182
白身フライ,150,https://www.hottomotto.com/files/menu_img/sp_986.jpg?id=5845,226kcal,9.4g,12.1g,20.3g,19.4g,0.9g,1.0g,https://www.hottomotto.com/menu_list/view/13/986
しょうが焼き　おかずのみ,570,https://www.hottomotto.com/files/menu_img/sp_1156.jpg?id=5845,365kcal,18.2g,23.4g,22.1g,18.7g,3.4g,3.2g,https://www.hottomotto.com/menu_list/view/13/1156
夏のよくばり牛カレー(チーズ),760,https://www.hottomotto.com/files/menu_img/sp_1241.jpg?id=5845,670kcal,18.9g,23.2g,99.2g,93.1g,6.1g,2.8g,https://www.hottomotto.com/menu_list/view/13/1241
W牛焼肉(肉２倍)　おかずのみ,970,https://www.hottomotto.com/files/menu_img/sp_1159.jpg?id=5845,668kcal,23.6g,49.4g,34.8g,29.2g,5.6g,5.5g,https://www.hottomotto.com/menu_list/view/13/1159
特注弁当　松,1600,https://www.hottomotto.com/files/menu_img/sp_1199.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1199
4コ入り から揚　おかずのみ,470,https://www.hottomotto.com/files/menu_img/sp_1044.jpg?id=5845,366kcal,24.7g,19.0g,21.7g,19.7g,2.0g,3.0g,https://www.hottomotto.com/menu_list/view/13/1044
12コ入りチキンBOX,990,https://www.hottomotto.com/files/menu_img/sp_1237.jpg?id=5845,892kcal,72.2g,52.8g,31.8g,29.4g,2.4g,5.8g,https://www.hottomotto.com/menu_list/view/13/1237
ドラえもんランチ/ドラミちゃんランチ(ふりかけ),520,https://www.hottomotto.com/files/menu_img/sp_1064.jpg?id=5845,415kcal,16.9g,16.7g,51.4g,47.2g,4.2g,2.0g,https://www.hottomotto.com/menu_list/view/13/1064
たっぷりグリーンサラダ,170,https://www.hottomotto.com/files/menu_img/sp_1187.jpg?id=5845,54kcal,2.0g,3.5g,4.9g,3.2g,1.7g,0.4g,https://www.hottomotto.com/menu_list/view/13/1187
和風オニオンソースハンバーグ＆から揚弁当,950,https://www.hottomotto.com/files/menu_img/sp_1273.jpg?id=5845,869kcal,40.0g,27.5g,119.0g,111.1g,7.9g,5.4g,https://www.hottomotto.com/menu_list/view/13/1273
デミグラスハンバーグ　おかずのみ,620,https://www.hottomotto.com/files/menu_img/sp_1160.jpg?id=5845,319kcal,17.7g,15.2g,29.7g,25.1g,4.6g,2.8g,https://www.hottomotto.com/menu_list/view/13/1160
おろしチキン竜田　おかずのみ,570,https://www.hottomotto.com/files/menu_img/sp_1155.jpg?id=5845,569kcal,17.2g,38.9g,37.9g,35.5g,2.4g,3.6g,https://www.hottomotto.com/menu_list/view/13/1155
W大判牛焼きすき重(肉4枚),1230,https://www.hottomotto.com/files/menu_img/sp_1089.jpg?id=5845,731kcal,36.4g,22.1g,99.2g,94.5g,4.7g,5.1g,https://www.hottomotto.com/menu_list/view/13/1089
特注弁当　竹,1300,https://www.hottomotto.com/files/menu_img/sp_1200.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1200
Wビーフカットステーキ重（肉2倍),1500,https://www.hottomotto.com/files/menu_img/sp_879.jpg?id=5845,802kcal,41.3g,24.4g,106.9g,99.9g,7.0g,7.0g,https://www.hottomotto.com/menu_list/view/13/879
