store,category,name,kcal,price_jpy,meal_slot_hint,protein_g,fat_g,carb_g,fiber_g,url,image_url
松屋,ランチ,キムチ牛めしランチセット（あたま大盛）,838.0,860,lunch,22.7,36.7,101.3,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_kimuchi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_kimuchi_yasai_hp_240403.jpg
松屋,ランチ,キムチ牛めしランチセット（大盛）,1006.0,910,lunch,25.2,37.0,138.4,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_kimuchi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_kimuchi_yasai_hp_240403.jpg
松屋,ランチ,キムチ牛めしランチセット（特盛）,1311.0,1080,lunch,34.0,57.4,159.1,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_kimuchi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_kimuchi_yasai_hp_240403.jpg
松屋,ランチ,ネギたっぷり旨辛ネギたま牛めしランチセット（小盛）,638.0,750,lunch,21.3,29.2,70.3,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_negitama_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_negitama_yasai_hp_220308.jpg
松屋,ランチ,ネギたっぷり旨辛ネギたま牛めしランチセット（並盛）,842.0,780,lunch,25.9,36.5,99.2,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_negitama_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_negitama_yasai_hp_220308.jpg
松屋,ランチ,ネギたっぷり旨辛ネギたま牛めしランチセット（あたま大盛）,920.0,960,lunch,28.5,43.2,100.8,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_negitama_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_negitama_yasai_hp_220308.jpg
松屋,ランチ,ネギたっぷり旨辛ネギたま牛めしランチセット（大盛）,1088.0,1010,lunch,31.0,43.5,137.9,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_negitama_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_negitama_yasai_hp_220308.jpg
松屋,ランチ,ネギたっぷり旨辛ネギたま牛めしランチセット（特盛）,1392.0,1180,lunch,39.8,63.9,158.7,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_negitama_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_negitama_yasai_hp_220308.jpg
松屋,ランチ,鬼おろしポン酢牛めしランチセット（小盛）,558.0,650,lunch,15.5,23.2,70.0,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_onioroshi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_oroshi_yasai_hp_230321.jpg
松屋,ランチ,鬼おろしポン酢牛めしランチセット（並盛）,738.0,680,lunch,19.5,29.3,95.9,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_onioroshi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_oroshi_yasai_hp_230321.jpg
松屋,ランチ,鬼おろしポン酢牛めしランチセット（あたま大盛）,816.0,860,lunch,22.2,36.1,97.6,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_onioroshi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_oroshi_yasai_hp_230321.jpg
松屋,ランチ,鬼おろしポン酢牛めしランチセット（大盛）,984.0,910,lunch,24.7,36.4,134.7,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_onioroshi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_oroshi_yasai_hp_230321.jpg
松屋,ランチ,鬼おろしポン酢牛めしランチセット（特盛）,1288.0,1080,lunch,33.4,56.7,155.5,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_onioroshi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_oroshi_yasai_hp_230321.jpg
松屋,ランチ,牛めしランチセット（小盛）,531.0,550,lunch,14.3,23.0,64.8,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_yasai_hp_230919.jpg
松屋,ランチ,牛めしランチセット（並盛）,711.0,580,lunch,18.4,29.1,90.7,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_yasai_hp_230919.jpg
松屋,ランチ,牛めしランチセット（あたま大盛）,789.0,760,lunch,21.0,35.9,92.3,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_yasai_hp_230919.jpg
松屋,ランチ,牛めしランチセット（大盛）,957.0,810,lunch,23.5,36.2,129.4,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_yasai_hp_230919.jpg
松屋,ランチ,牛めしランチセット（特盛）,1262.0,980,lunch,32.2,56.6,150.2,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_yasai_hp_230919.jpg
