product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
牛スープの旨み盛岡風冷麺,536,https://www.family.co.jp/content/dam/family/goods/0810432.jpg,327.00,11.00,2.80,65.40,,,4.70,https://www.family.co.jp/goods/noodle/0810432.html
ねぎたっぷり！豚肉そば,554,https://www.family.co.jp/content/dam/family/goods/0812160.jpg,342.00,18.90,6.30,53.90,,,4.50,https://www.family.co.jp/goods/noodle/0812160.html
だし香るかき揚げそば,462,https://www.family.co.jp/content/dam/family/goods/0812245.jpg,463.00,15.10,17.50,63.30,,,3.70,https://www.family.co.jp/goods/noodle/0812245.html
【関東の一部】太麺！鰹節だけうどん,369,https://www.family.co.jp/content/dam/family/goods/0810029.jpg,424.00,15.30,2.30,87.00,,,4.90,https://www.family.co.jp/goods/noodle/0810029.html
こだわりだしのわかめうどん,399,https://www.family.co.jp/content/dam/family/goods/0812146.jpg,322.00,11.10,2.40,66.30,,,5.00,https://www.family.co.jp/goods/noodle/0812146.html
国産鶏むね肉使用　鶏天うどん,599,https://www.family.co.jp/content/dam/family/goods/0812153.jpg,405.00,16.30,6.30,72.60,,,5.30,https://www.family.co.jp/goods/noodle/0812153.html
【東京都の一部・神奈川県の一部】旨味辛味香味　ビャンビャン麺,536,https://www.family.co.jp/content/dam/family/goods/0810050.jpg,562.00,19.60,21.60,75.20,,,3.70,https://www.family.co.jp/goods/noodle/0810050.html
【関東】三ん寅監修　味噌らーめん,573,https://www.family.co.jp/content/dam/family/goods/0812122.jpg,653.00,23.80,29.30,75.90,,,7.40,https://www.family.co.jp/goods/noodle/0812122.html
ふんわりたまご　天津あんかけ焼そば,554,https://www.family.co.jp/content/dam/family/goods/0823104.jpg,584.00,22.70,20.90,78.50,,,6.10,https://www.family.co.jp/goods/noodle/0823104.html
甜面醤の旨み　ジャージャー麺,499,https://www.family.co.jp/content/dam/family/goods/0823180.jpg,531.00,20.10,14.80,82.20,,,5.00,https://www.family.co.jp/goods/noodle/0823180.html
ゆず香る鶏だしスープのミニ塩ラーメン,399,https://www.family.co.jp/content/dam/family/goods/0812061.jpg,241.00,15.80,5.40,33.40,,,5.00,https://www.family.co.jp/goods/noodle/0812061.html
北海道仕込みの5種味噌　味噌ラーメン,519,https://www.family.co.jp/content/dam/family/goods/0812030.jpg,544.00,25.00,16.70,76.40,,,8.00,https://www.family.co.jp/goods/noodle/0812030.html
醤油と鰹節の旨み　醤油焼うどん,417,https://www.family.co.jp/content/dam/family/goods/0823166.jpg,470.00,17.10,8.20,84.20,,,5.20,https://www.family.co.jp/goods/noodle/0823166.html
【関東の一部】青椒肉絲焼そば,536,https://www.family.co.jp/content/dam/family/goods/0823029.jpg,586.00,21.80,18.80,86.50,,,7.90,https://www.family.co.jp/goods/noodle/0823029.html
大盛　豚肉とねぎの塩焼そば,554,https://www.family.co.jp/content/dam/family/goods/0823173.jpg,688.00,19.80,18.10,114.20,,,8.00,https://www.family.co.jp/goods/noodle/0823173.html
【関東の一部】ウスターソースが決め手　宇都宮焼そば,462,https://www.family.co.jp/content/dam/family/goods/0823098.jpg,588.00,19.70,17.40,89.80,,,5.80,https://www.family.co.jp/goods/noodle/0823098.html
ジューシーソース焼そば,417,https://www.family.co.jp/content/dam/family/goods/0823289.jpg,620.00,17.60,16.50,102.50,,,6.10,https://www.family.co.jp/goods/noodle/0823289.html
【九州】ジューシーソース焼そば,417,https://www.family.co.jp/content/dam/family/goods/0827010.jpg,620.00,17.60,16.50,102.50,,,6.10,https://www.family.co.jp/goods/noodle/0827010.html
たっぷりコーンのバター醤油パスタ,426,https://www.family.co.jp/content/dam/family/goods/0821537.jpg,509.00,15.30,16.00,79.20,,,4.70,https://www.family.co.jp/goods/pasta/0821537.html
